Latitude,Longitude,Description,Label,Rooms,Year,Price,District,Date,USD_Price
55.804951,37.512344,"2020-01-29: 12941000 | 13458640
г.москва,ленинградскийпросп.,д.75,кор.1,2ком., пл. 60.0, кв. 30","13.458.640, 2020, 1",2,2020,13458640,САО,2020-01-29,213989.58578621226
55.80651999999999,37.513844,"2018-12-26: 7206000 | 7206000
2018-09-26: 7206000 | Не продано
г.москва,ленинградскийпросп.,д.78,кор.3,2ком., пл. 35.5, кв. 26","7.206.000, 2018, 2",2,2018,7206000,САО,2018-12-26,105026.11984569857
55.817092,37.50036,"2019-04-24: 10668000 | 10668000
2019-01-23: 12779000 | Не продано
г.москва,ленинградскоеш.,д.8,кор.2,2ком., пл. 50.2, кв. 95","10.668.000, 2019, 2",2,2019,10668000,САО,2019-04-24,167250.14389284322
55.816642,37.498617,"2017-05-17: 6359000 | 7185670
2017-01-21: 7341000 | Не продано
г.москва,ленинградскоеш.,д.9,кор.1,2ком., пл. 44.0, кв. 166","7.185.670, 2017, 2",2,2017,7185670,САО,2017-05-17,127552.7250861601
55.858438,37.473366,"2017-04-07: 6358000 | 6358000
г.москва,ленинградскоеш.,д.98,кор.5,2ком., пл. 42.8, кв. 387","6.358.000, 2017, 1",2,2017,6358000,САО,2017-04-07,112701.92329668591
55.667213,37.513008,"2017-07-12: 3943000 | 5165330
г.москва,ленинскийпр-т,д.110,кор.1,1ком., пл. 28.1, кв. 98","5.165.330, 2017, 1",1,2017,5165330,ЗАО,2017-07-12,85587.43154068723
55.70616800000001,37.578801,"2018-07-25: 9731000 | 9731000
г.москва,ленинскийпр-т,д.41/2,2ком., пл. 48.5, кв. 418","9.731.000, 2018, 1",2,2018,9731000,ЮЗАО,2018-07-25,154486.31295483917
55.897483,37.602795,"2018-02-21: 5918000 | 6805700
2017-11-08: 6950000 | Не продано
2017-09-20: 6950000 | Не продано
2017-07-12: 7263000 | Не продано
2017-05-17: 7263000 | Не продано
г.москва,лесковаул.,д.12,2ком., пл. 52.2, кв. 42","6.805.700, 2018, 5",2,2018,6805700,СВАО,2018-02-21,120715.09796161593
55.893748,37.618282,"2017-05-17: 4780000 | 5019000
2017-02-17: 4966000 | Не продано
г.москва,лесковаул.,д.21,1ком., пл. 39.0, кв. 66","5.019.000, 2017, 2",1,2017,5019000,СВАО,2017-05-17,89092.19699867062
55.78422800000001,37.595941,"2017-10-25: 6491000 | 7919020
г.москва,леснаяул.,д.63/43,стр.2,1ком., пл. 34.8, кв. 230","7.919.020, 2017, 1",1,2017,7919020,ЦАО,2017-10-25,137746.28554927223
