Latitude,Longitude,Description,Label,Placemark number
55.867632,37.469476,"<div>2018-02-21: 3161000 | 4520230</div><div>2017-11-08: 3799000 | Не продано</div><p>г.москва,беломорскаяул.,д.7,кор.3,1ком., пл. 31.4, кв. 1</p>","4.520.230, 2018, 2",1
55.867632,37.469476,"<div>2018-02-21: 4082000 | 5265780</div><div>2017-11-08: 5014000 | Не продано</div><div>2017-09-13: 5014000 | Не продано</div><p>г.москва,беломорскаяул.,д.7,кор.3,2ком., пл. 36.7, кв. 26</p>","5.265.780, 2018, 3",2
55.86157,37.46944,"<div>2018-05-23: 5981000 | 6339860</div><p>г.москва,беломорскаяул.,д.8,кор.1,1ком., пл. 37.6, кв. 122</p>","6.339.860, 2018, 1",1
55.871683,37.555184,"<div>2020-02-26: 5369000 | Аукцион</div><p>г.москва,бескудниковскийб-р,д.32,кор.3,1ком., пл. 31.8, кв. 20</p>","Аукцион, 2020, 1",1
55.583515,37.674849,"<div>2017-07-12: 4304000 | 4304000</div><div>2017-05-17: 4304000 | Не продано</div><div>2017-01-21: 4428000 | Не продано</div><p>г.москва,бирюлевскаяул.,д.49,кор.4,1ком., пл. 39.4, кв. 994</p>","4.304.000, 2017, 3",1
55.771454,37.583095,"<div>2017-08-30: 14471000 | Не продано</div><p>г.москва,большаягрузинскаяул.,д.57,2ком., пл. 50.2, кв. 90</p>","Не продано, 2017, 1",2
55.771413,37.583266,"<div>2018-04-04: 12247000 | 12247000</div><div>2018-01-24: 12247000 | Не продано</div><div>2017-10-25: 14471000 | Не продано</div><p>г.москва,большаягрузинскаяул.,д.57,стр.1,2ком., пл. 50.2, кв. 90</p>","12.247.000, 2018, 3",2
55.714942,37.857027,"<div>2019-09-25: 5800000 | 5800000</div><p>г.москва,большаякосинскаяул.,д.24,2ком., пл. 42.7, кв. 87</p>","5.800.000, 2019, 1",2
55.793895,37.686338,"<div>2017-08-23: 12362000 | 12485620</div><p>г.москва,большаяостроумовскаяул.,д.11,кор.3,3ком., пл. 72.7, кв. 47</p>","12.485.620, 2017, 1",3
55.785326,37.640542,"<div>2017-09-20: 10243000 | 12394030</div><div>2017-07-12: 14670000 | Не продано</div><div>2017-05-17: 14670000 | Не продано</div><p>г.москва,большаяпереяславскаяул.,д.13,2ком., пл. 71.4, кв. 75</p>","12.394.030, 2017, 3",2
55.724682,37.624822,"<div>2017-10-25: 7219000 | 8229660</div><div>2017-08-09: 8928000 | Не продано</div><div>2017-06-21: 8928000 | Не продано</div><p>г.москва,большаясерпуховскаяул.,д.34,кор.4,1ком., пл. 37.9, кв. 41</p>","8.229.660, 2017, 3",1
55.737983,37.463871,"<div>2019-05-29: 5944000 | 6716720</div><p>г.москва,большаяфилёвскаяул.,д.59,кор.2,1ком., пл. 30.3, кв. 7</p>","6.716.720, 2019, 1",1
55.798495,37.736707,"<div>2017-01-21: 4444000 | 4444000</div><p>г.москва,большаячеркизовскаяул.,д.24,кор.1,1ком., пл. 32.8, кв. 49</p>","4.444.000, 2017, 1",1
55.795003,37.718848,"<div>2017-10-11: 5261000 | 6734080</div><div>2017-07-26: 6509000 | Не продано</div><div>2017-05-31: 6509000 | Не продано</div><div>2017-04-07: 6509000 | Не продано</div><p>г.москва,большаячеркизовскаяул.,д.4,кор.4,2ком., пл. 39.3, кв. 70</p>","6.734.080, 2017, 4",2
55.797463,37.720609,"<div>2017-03-03: 5979000 | 6038790</div><p>г.москва,большаячеркизовскаяул.,д.5,кор.1,2ком., пл. 39.8, кв. 134</p>","6.038.790, 2017, 1",2
55.794315,37.720394,"<div>2017-11-29: 3842000 | 4495140</div><p>г.москва,большаячеркизовскаяул.,д.6,кор.5,1ком., пл. 30.5, кв. 42</p>","4.495.140, 2017, 1",1
55.79393,37.721148,"<div>2019-10-30: 5752000 | 6902400</div><p>г.москва,большаячеркизовскаяул.,д.6,кор.7,1ком., пл. 35.1, кв. 89</p>","6.902.400, 2019, 1",1
55.79393,37.721148,"<div>2018-08-22: 5575000 | 6578500</div><p>г.москва,большаячеркизовскаяул.,д.6,кор.7,2ком., пл. 37.9, кв. 18</p>","6.578.500, 2018, 1",2
55.641493,37.774481,"<div>2017-02-17: 4427000 | 4825430</div><p>г.москва,борисовскиепрудыул.,д.48,кор.2,1ком., пл. 38.2, кв. 495</p>","4.825.430, 2017, 1",1
